'n	a, an.
kruinaeltjie	(-s), clove.
kruip	creep, crawl; cringe, grovel.
kruis	n. cross; croup (of horse), crupper; small of the back (of man); loin; aff1iction, trial.; cross; intersect; crucify; cruise.
kruisbande	(pair of) braces.
kruisbeeld	crucifix.
kruisement	mint.
kruiser	cruiser.
kruisig	crucify.
kruising	cross(-breeding); crossing.
kruisvaarder	Crusader.
kruisverhoor	cross-examination.
kruisvra	cross-examine.
kruit	powder, gunpowder.
kruiwa	(wheel-)barrow.
kruk	n. crutch; perch; crank; crock; stool.; go on crutches; be ailing (crocked).
krukas	crankshaft.
krukkas	crankcase.
krukker	crock.
krul	n. curl; shaving (of wood); flourish (of pen).; curl; frizz, wave (hair).
krulhou	curly ball (in cricket); screw.
krullebol	curly-head.
krummel	n, crumb.; crumble.
kruppel	vide kreupel.
kry	get, receive, obtain, catch (a cold).; find
kryg	n. fight, war.
kryger	warrior.
krygs	scream, screech; cry; croak.
krygshaftig	bellicose, martial, warlike.
krygsman	soldier, warrior.
krygsraad	court martial, council of war.
krygsugtig	bellicose, warlike.
kryt	(1) chalk; crayon.; (2) arena.
kubiek	a. cube, cubic; - e inhoud, cubic content; - e maat, cubic measure.
kudde	flock.
kug	n. (dry) cough.; cough.
kuier	n. visit, call, outing.; call, visit; stroll.
kuiergas	guest.
kuif	n. tuft, topknot; crest, hood.
kuiken	chicken; youngster.
kuikendief	Cape kite, harrier.
kuil	n. hole, pit; pool.; put in pits, ensile.
kuiltjie	hole; dimple.
kuilvoer	(en)silage, silo(-fodder).
kuip	n. tub; vat.; cooper; scheme, intrigue.
kuis	chaste, virtuous, virginal.
kuit	n. calf (of leg).; n. roe, spawn (of dish).
kul	cheat, deceive.
kultuur	culture; cultivation.
kundig	able, experienced, skilful.
kundigheid	accomplishments.
kuns	n. art; knack, trick, feat.
kunsledemaat	prosthesis
kunsleer	imitation-leather, leatherette.
kunsmatig	artificial.
kunsmis	artificial manure, fertilizer.
kunsrubber	synthetic rubber.
kunssinnig	artistic, art-loving.
kunsskilder	artist, painter.
kunstenaar	artist.
kunstig	artful, skilful, clever; artistic.
kurang	vide kierang.
kurator	curator, custodian.
kurk	n. cork.; cork, close (a bottle).
kurkdroog	bone-dry.
kurktrekker	cork-screw.
kurper	carp.
kursief	in italics, italicized.
kursus	course, curriculum.
kurwe	curve, graph.
kus	n. (1) kiss.; n. (2) coast, shore.; te - en te keur, in plenty, of a wide choice.; kiss.
kussing	cushion; pillow (of bed).
kussingband	balloon-tyre.
kussingsloop	pillow-case, pillow-slip.
kuur	cure; caprice, whim.
kwaad	n. evil, wrong, harm, mischief; injury, damage.; a. & adv. angry, cross, vexed.
kwaadaardig	malicious, vicious; malignant, virulent (disease).; pernicious
kwaaddoener	evil-doer; rascal, imp.
kwaadgeld	vir - rondloop, loaf about.
kwaadskiks	unwillingly.
kwaadspreker	scandalmonger, back-biter.
kwaadstoker	mischief-maker.
kwaadwillig	malevolent, ill-disposed.
kwaai	bad-tempered, ili-natured, vicious; harsh, strict.
kwaaivriende	bad friends.
kwaak	croak; quack,
kwaal	ailment, disease.
kwadraatwortel	square root.
kwagga	quagga.
kwajong	rascal, mischievous boy.
kwaksalwer	quack, charlatan.
kwal	jelly-fish.
kwalik	hardly, scarcely; - neem, take amiss (ill); resent.
kwaliteit	quality; capacity.
kwansel	haggle, barter.
kwansuis	vide konsuis.
kwantiteit	quantity, amount.
kwarantyn	quarantine.
kwart	quarter; quart; crotchet.
kwartaal	quarter; (school-)term.
kwartel	quail.
kwartier	quarter of an hour, quarter (of moon); (military) quarters, billet.
kwarts	quartz.
kwas	brush; tuft; tassel (ornament); knot (in wood), node.
kweek	n. couch-, quick-grass.; cultivate (plants); foster (goodwill).
kweekgras	vide kweek, n.
kweekplaas	-plek, nursery; hotbed.
kweekskool	training-school (-college), (theological) seminary.
kweel	carol, warble.
kweker	grower; breeder; nurseryman.
kwekery	nursery.
kwel	torment, annoy, worry; tease.
kweper	quince.
kwes	wound (an animal).
kwesbaar	vulnerable.
kwessie	matter, question; issue; quarrel.
kwets	grieve, offend; hurt (feelings).
kwetsend	offensive, outrageous.
kwetsuur	hurt, injury, wound.
kwetter	chirp, twitter.
kwik	mercury, quicksilver.
kwikstertjie	wagtail.
kwinkeleer	twitter, warble.
kwinkslag	joke, quip, witticism.
kwispel	wag the tail.
kwistig	lavish, liberal, prodigal.
kwitansie	receipt.
kwyl	n. drivel, slaver.; drivel, slaver.
kwyn	languish; wither (plants); flag (interest); fall into decline.
kwyt	adv., - raak, lose, get rid of.; jou - van..., acquit oneself of (a task).
kwytskeld	(kwytge-), forgive (sins), let (someone) off; remit (taxes).; forgive
kwytskelding	amnesty; remission
kyf	dispute, quarrel, wrangle.
kyfagtig	quarrelsome.
kyk	n. aspect, look; view.; look, see, view.
kyker	spectator; eye, pupil; telescope.
laaf	refresh; try to restore consciousness.
laafnis	refreshment, relief.
laag	n. layer; bed, stratum (geology); coat(ing) (of paint); course (of bricks).; a. & adv. low, base, infamous, mean, vile (creature), foul.
laaggety	ebb.
laaghartig	base, mean, vile.
laagte	valley, dip.
laagwater	low tide.
laai	ablaze, in a blaze.; n. (2) drawer; till; stock (of gun).; n. (3) custom, habit, trick, dodge.; load, charge.
laaikas	chest of drawers; box (mining).
laaistok	ramrod.
laak	blame, find fault with.
laakbaar	reprehensible.
laan	avenue.
laars	boot.
laas	last.
laasgemelde	latter, last-named.
laaslede	last.
laaste	n. last one.; a. & adv. last; latest (reports).
laastelik	finally, lastly.
laat	a. late.; adv. late.; let; leave; allow, permit, let; stop; refrain from (doing); make (person do a thing); have (something) done.
laat vaar	abandon
laboratorium	" laboratory, ""lab."""
lading	load; cargo; charge.
laer	n. camp, lager.; a. lower; primary (education).; lager, go into camp.
laerskool	primary school.
laf	silly; insipid; cowardly.
lafaard	coward.
lafhartig	cow.ardly.
lag	n. laugh, laughter.; laugh.
lag-lag	laughingly; easily.
lagune	lagoon.
lagwekkend	laughable; ludicrous.
lak	n. sealing-wax; lac, lacquer (varnish).; 1. seal (letter); lacquer, japan.; 2. tackle, bring down hard.
lakei	lackey, footman.
laken	cloth; sheet (for bed).
lakense	cloth; - pak, cloth-suit.
lakleer	patent leather.
laks	lax, slack.
laksman	executioner; butcher-bird.
lakune	gap, blank.
lam	n. lamb.; a. paralysed; tired, weary, fatigued.; lamb.
lama	(1) lama (priest).; (2) 1(1)ama (animal).
lamlendig	miserable.
lammervanger	martial eagle.
lamp	lamp; valve (wireless).
lampetbeker	toilet-jug.
lamsak	spunkless fellow, slacker.
lamsalig	miserable.
lamsiekte	" ""lamsiekte""."
lamslaan	paralyse; render helpless.
lamvleis	lamb.
land	n. land; field; country; shore.; land; disembark.
landbou	agriculture.
landboukunde	agriculture, agricultural science.
landdros	" ""landdros""; magistrate."; magistrate
landelik	rural; country...; rustic.
landengte	isthmus.
landerye	cultivated fields (lands).
landgoed	country-estate.
landkaart	map.
landman	farmer.
landmeter	(land-)surveyor.; surveyor
landskap	landscape.
landskas	(national) treasury.
landsman	country-man.
landstreek	region, district.
landverhuiser	emigrant.
lanfer	crepe (crape).
lang	long; tall (person).
langasemsprinkaan	cricket
langdradig	tedious, long-winded.
langdurig	long (illness); long-standing, protracted.
langes	vide langs.
langgerek	long-drawn out.
langoog	- wees, be jealous (yellow-eyed).
langoor	long-ears; donkey.
langs	beside; alongside of; along.
langsaam	a. slow, tardy, lingering.; adv. slow(ly).
langsaan	next (door) to.
langsamerhand	gradually, by degrees.
langslewende	survivor.
langwa	long wag(g)on, perch-pole.
langwerpig	oblong.
laning	hedge.
lank	lang, long; a long time.
lank-uit	at full 1ength.
lankal	long, long ago.
lankmoedig	long-suffering, patient.
lans	lance.
lanseer	launch.
lanterfanter	idler, loiterer, loafer.
lantern	lantern.
lap	n. rag; cloth (for wiping, rubbing); patch; piece; remnant (of material); bandage (round finger).; patch; mend; patch up.
lapel	lapel.
Laplander	Lapp, Laplander.
lappiesmous	ragman, pedlar.
larwe	larva, grub.
las	n. (1) weld, seam joint.; n. (2) burden, load; nuisance, trouble; command, order.; weld, join (together).; instruct; vide gelas.
lasarus	leprosy.
lasbrief	warrant, order, writ.
lasdier	beast of burden.
laserstraal	laser beam.
laspos	nuisance, plague, bore.
laster	n. slander, calumny, libel.; slander; blaspheme.
lasterlik	slanderous, libellous; blasphemous (against God).
lastig	difficult, awkward; trying, delicate (question), troublesome; inconvenient.
lat	cane, stick; lath (support).
latei	lintel.
later	adv. later; later on, afterwards.
Latyn	Latin.
laventel	lavender.
lawa	lava.
lawaai	n. noise, din, uproar, row, tumult.; make a noise, kick up a row.
lawaaiwater	booze, spirits.
lawine	ayalanche, snowslide.
lawwigheid	silliness, foolishness.
lê	put, place, lay; lie.
lede	a., met - oe, regretful.
ledekant	bedstead.
ledemate	limbs.
ledig	a. idle.; empty.
leed	harm; sorrow, grief, pain.
leedvermaak	malicious joy.
leedwese	regret.
leef	live.
leeftog	subsistence; provisions.
leefwyse	way (manner) of living.
leeg	a. empty; vacant (seat, house).
leegdrink	drain, empty (one's glass).
leeghoofdig	empty-headed.
leegloop	run dry; become deflated (of tyre); idle, loaf.
leegloper	loafer, idler.
leegmaak	empty; clear (table).
leegsit	sit idle.
leek	layman.
leem	loam, clay.
leemte	gap, blank, lacuna; void.; deficiency; gap; blank
leen	borrow (from); lend (to).
leepoë	blear eyes.
leer	n. (1) leather.; n. (2) ladder.; n. (3) apprenticeship; doctrine; theory; teaching (of Christ).; teach (children); learn (language).; n. army; host, multitude.; layer (hen); leaguer (for wine); sleeper (railway); file; register.
leergang	course of study.
leergierig	eager to learn, studious.
leerjonge	apprentice.
leerling	pupil; disciple.
leerlooiery	tannery; tanning.
leermeester	teacher, tutor.
leerplan	syllabus, curriculum.
leersaam	instructive; docile.
leërskaar	host.
leerstelling	dogma, doctrine, tenet.
lees	n. last, boot-tree; waist.; read.
leesbaar	readable (book); legible (handwriting).
leesteken	punctuation-mark.
leeu	lion.
leeubekkie	snap-dragon.
leeutemmer	lion-tamer.
leg	vide lê, (ge-).
legende	legend.
lei	n. slate.; lead, conduct, direct, guide.
leidak	slate-roof.
leidam	irrigation-dam.
leiding	lead; leadership, guidance, management; line; piping; (take the) lead.
leidraad	guiding line; guide, key, clue.
leidsman	leader, guide.
leier	leader; guide.
leiklip	slate.
leisel	rein.
lek	n. leak(age); puncture (tyre).; (1) leak, be leaky.; (2) lick.
lekkasie	leak(age).
lekker	n. sweet.; a. & adv. nice, sweet, delicious; fine; tight, tipsy.
lekkerbekkig	sweet-toothed, fasticious.
lekkergoed	sweets, sweetmeats.
lekkerlyf	mellow, squiffy.
lekkerny	delicacy, dainty.
lektor	lecturer.
lektuur	reading-matter; literature; reading.
lelie	lily.
lelieblank	lily-white.
lelik	n. ugly(-face).; a. ugly, nasty (fall); bad (language).; adv. nasty, badly.
lelikerd	ugly person, scarecrow, sight.
lem	blade.
lemmetjie	lime; vide lem.
lemoen	orange.
lende	loin.
lendedoek	loin-cloth.
lendelam	ramshackle; shaky, tottering.
lengte	length; longitude (geogr.), height (of person).
lengtegraad	degree of longitude.
lenig	alleviate (pain), relieve.
lening	a. lithe, supple.; loan.
lens	lens.
lensie	lentil.
lente	spring.
lepel	spoon; ladle.
lêplek	place (room) to lie down; den.
leraar	minister; teacher.
lering	instruction.
les	n. lesson; lecture.; last; - bes, last but not least.; quench (thirst), slake.
lesenswaard	(-e), worth reading, readab]e.
lesing	reading; lecture; version.
lessenaar	desk; writing-desk.
Let	Lett.; mind.
Letlands	Latvian, Lettish.
letsel	injury; damage, harm.
letter	n. letter, character; type.; mark, letter.
letterdief	plagiarist.
lettergreep	syllable.
letterkunde	literature.
letterkundig	literary.
letterlik	a. literal (translation).; adv. literally; to the letter.
Letties	Lettish, Latvian.
leuen	lie, untruth, falsehood.
leuenaar	liar.
leun	lean.
leuning	back (of chair); rail(ing), support, banisters (stair-case); balustrade.
leuningstoel	easy chair, armchair.
leus	motto, device; slogan.
lewe	n. life; quick.
lewendig	a. living, live (animals); lively (description); active; frisky (horse); bright (eyes); brisk (trade); keen (discussion).
lewendigdood	more dead than alive.
lewensbeskrywing	biography.
lewensgevaarlik	perilous,
lewenskets	biographical sketch.
lewenslang	lifelong, for life.
lewensloop	career.
lewensloos	lifeless; inanimate (nature).
lewenslustig	full of life, vivacious.
lewer	n. liver.; furnish, supply; deliver; do (good work); furnish (proof).
leweransie	supply.
leweransier	furnisher, supplier; purveyor; caterer.
lewerik	lark.
lewertraan	cod-liver oil.
liasseer	file.
liberaal	liberal, broadminded.
lid	limb (of body); member (of society);
liddoring	corn.
lidmaat	member (of church).
lidwoord	article.
lied	song, hymn.
liederlik	dirty, filthy; obscene.
lief	n. - en leed, the bitter and the sweet.; a. dear, sweet, kind, charming.; adv. sweetly, nicely.
liefdadig	charitable, benevolent.
liefde	love.
liefdegawe	-gif, charity, alms.
liefderyk	loving, affectionate, kind.
liefdevol	full of love, loving.
liefhê	love.
liefhebbend	loving, affectionate.
liefhebber	n. lover; enthusiast.
liefhebbery	hobby, fad.
liefie	darling, love; sweetheart; mistress.
liefkoos	caress, fondle.
liefkry	grow fond of; fall in love with.
lieflik	lovely.
liefling	darling; favourite.
liefs	rather.
liefste	n. sweetheart, beloved; darling.
lieftallig	sweet, lovable, amiable.
lieg	lie, tell lies.; vide lie(g).
liemaak	fool, tease; sidestep, give (person) the dummy.
lier	lyre.
lies	groin.
lies-	inguinal
liewer	rather; preferably.; rather; preferably
liewerlee	van -, gradually.
lig	n. light.; a. light; bright; blond, fair; slight, mild.; adv. lightly; easily.; (1) lift, raise; weigh (anchor); clear (letter-box).; (2) give light; dawn; lighten.
liga	league.
ligdag	daylight.
liggaam	body; vaste -, solid.
liggaamlik	bodily; corporal (punishment); material; physical (training).
liggelowig	credulous; gullible.
liggeraak	touchy, over-sensitive.
liggewend	luminous, luminescent.
ligging	situation; site; lie.; location; site; bearing
ligsinnig	frivolous, flippant.
ligtelaaie	in -, in a blaze, ablaze.
ligter	lift.
likeur	liqueur.
likkewaan	iguana (leguan).
liksens	vide lisensie.
likwideer	liquidate, wind up.
lila	lilac.
limf	lymph.
limonade	lemonade.
lindeboom	linden-tree, lime.
liniaal	ruler.
linie	line; equator.
linieer	rule.
linker	left; near (fore-leg, wheel).
linkerkant	left (side).
links	a. left-handed.; adv. to (on) the left.
linne	linen; cloth (binding of book).
linnekas	linen-press.
lint	ribbon; tape.
lintwurm	tape-worm.
lip	lip.
lipstif	lipstick.
liriek	lyric, poetry, lyrics.
liries	lyric(al).
lis	(1) trick, ruse, device.; (2) noose; loop; tag.
lisensie	licence.
lisensieer	license.
lispel	lisp.
listig	cunny, wily, crafty, artful.
lit	joint; articulation.
Litauer	Lithuanian.
liter	litre.
literatuur	literature.
literêr	literary.
litteken	scar, cicatrice (cicatrix).
livrei	livery.
lob	lobe.
loef	die - afsteek, take the wind out of a person's sails.
loei	low; roar.
loën	deny.
loënstraf	belie, give the lie to.
loer	n., op die - le, lie in wait,; peep, peer; pry; lurk, watch.
loerie	lory (lourie).
loesing	hiding, thrashing, spanking.
lof	n. praise, commendation.; n. leaves, foliage, leafage.
loflied	song (hymn, psalm of praise).
lofwaardig	laudable, praiseworthy.
log	clumsy, unwieldy.
logies	a. logical.
lojaal	loyal.
lok	n. lock, curl.; entice, lure, decoy.
lokaal	n. room.
lokaas	bait, lure, decoy.
lokasie	location.
loket	pigeon-hole; box-office window, ticket-window; booking-office.
lokmiddel	bait, inducement, lure.
lokomotief	locomotive, engine.
lokstem	lure, siren-voice, call.
lokvink	decoy, police-trap.
lokvoël	decoy(-bird).
lol	be troublesome; nag.
lollery	nagging; nuisance, bother.
lolpot	nuisance, bore.
lomerig	drowsy, sleepy; languid.
lommer	foliage; shade.
lommerd	pawnbroker's shop.
lomp	a. clumsy, awkward.
lomperd	bumpkin, clodhopper, lout.
Londenaar	Londoner.
long	lung.
long-	pulmonary
longontsteking	pneumonia.
longvliesontsteking	pleuritis
lonk	wink; give the glad eye.
lont	fuse; - ruik, smell a rat.
lonter	a. & adv. pure, sheer.
lood	n. lead; plumb-line; plummet.
loodgieter	plumber,
loodlyn	perpendicular, plumb-line.
loodreg	perpendicular, verticaL
loods	n. (1) pilot (of ship).; n. (2) shed; hangar.; pilot (ship); direct, conduct.; conduct
loodsekering	lead-fuse, -plug.
loodswaar	leaden, like lead.
loof	n. foliage, leaves, leafage.; praise, glorify, extol.
loog	n. lye, lixivium, buck.
looi	n. tan.; tan; leather, thrash.
looiery	tanning; tannery; tanner's trade.
loom	drowsy; languid; heavy, dull.
loon	n. wages, salary, pay; reward.; reward, pay.
loontjie	boontjie kry sy -, it serves you right.
loontrekker	wage-earner.
loop	n. walking; walk, gait; running (of machine); course (of events); (pl., lope), barrel (of gun); spruit, stream; course (of river).; walk; go; run.
loopbaan	career; orbit (of planet); track.
loopgraaf	trench.
loopplank	running-board; footboard; gangway.
loopplek	place for walking; pasturage; haunt, feeding-place.
loopprater	walkie-talkie.
loot	n. shoot, sucker; offspring.; draw lots, raCe (for); toss.
lootjie	(lottery-)ticket.
loper	walker; messenger; (carpet-) runner; master-key; bishop (chess); (pl.) buckshot, slugs.
lorrie	lorry.
los	a. loose; extra, spare (copy); undone, unfastened; detached, detachable; wanton; free (person).; adv. loosely.; fire (shot); redeem (pledge); claim (goods); ransom (prisoner); release; let go.
losbandig	fast, dissipated, profligate.
losbars	tear; burst out, explode, let fly; break (out); open fire.
losbrand	open fire, let fly, launch out.
loseer	board, put up, lodge.; board, stay, lodge
losgoed	movable property; loose stuff.
loshande	with hands free.
losie	lodge; box (in theatre).; lodge
losies	board and lodging; accommodation.
losieshuis	boarding-house.; boarding-house, lodging-house
losknip	release catch
losknoop	unbutton; untie, undo.
loskom	get loose (away); get free (off); be released (discharged).
loskruit	met - skiet, fire with blanks.
loslippig	flippant, loose-tongued.
losloop	be at large; run free (loose); idle; free-wheel.
loslopie	bye (cricket).
lospitperske	free-stone peach.
losprys	ransom.
losskakel	fly-half, stand-off half (rugby).
losslaan	knock loose; earn (money).
losspeler	loose (wing) forward.
lossteek	dig loose; let fly (at), lash out, go for, belabour.
lostrek	pull (tear) loose; let out (fly).
lot	fate, destiny; lot.; lottery-ticket; vide lootjie.
lotery	lottery; raffle; gamble.
lotgevalle	adventures.
lotjie	van - getik wees, have a screw loose.
lou	lukewarm (lit. & fig.), tepid.
louere	laurels.
louter	purify, refine, try, test.
lower	foliage.
lowergroen	bright (fresh, vivid) green.
lug	n. sky; air; atmosphere; scent, smell.; air, ventilate; vent.
lugband	pneumatic tyre.
lugdig	airtight.
lugdraad	aerial, antenna; overhead wire.
lughartig	light-hearted, happy-go-lucky.
lughawe air-port.	
lughou	lob (tennis); 'n - alaan, lob.
lugkasteel	castle in the air.
lugledig	n. vacuum.
lugmag	air-fome.
lugpyp	windpipe, trachea.
lugreëling	air-conditioning.
lugruim	atmosphere, space.
lugspieëling	mirage.
lugtig	a. airy; light-hearted; nervous; cautious; funky.
lugvaart	aviation, air-navigation.
lugwaardin	air hostess.
lui	a. lazy, indolent, slothful.; ring (bell), sound, peal; toll.
luiaard	lazy person; sloth (animal).
luid	loud.
luidens	according to.
luidkeels	at the top of one's voice.
luidrugtig	noisy, boisterous.
luidspreker	loudspeaker.
luier	n. (baby's) napkin; diaper.; loaf, laze, idle.
luik	n. shutter; hatch, trap-door.
luilak	n. sluggard, lazybones, idler.
luim	mood, humour; whim.
luimig	humorous, witty.
luiperd	leopard, panther.
luis	louse.
luiskoors	typhus (fever).
luislang	python.
luister	n. splendour, lustre.; listen.
luisteraar	listener; eavesdropper.
luisterryk	splendid, brilliant.
luistervink	eavesdropper.
luitenant	lieutenant.
luiters	innocent, unaware.
lukraak	a. wild, random.; adv. at random, haphazard.; wild; random; haphazard
lukwart	loquat.
lumier	n. break of day, dawn.; break (of day), dawn.
lummel	n. gawk, simpleton, booby.
luns	n. linch-pin, axle-pin.
lunsriem	axle-pin strap; dirty rascal.
lus	n. (1) desire, appetite; liking, inclination; lust, passion; delight, joy, pleasure, threat.; (2) vide lis, (2).; like, feel like, feel inclined (for).
lusern	lucerne.
lushof	pleasure-garden.
lusteloos	listless, languid, dull.
lustig	cheerful, merry, gay.
Luthers	Lutheran.
luttel	little.
luukse	luxury.
ly	suffer; bear, endure.
lydelik	passive.
lydend	suffering; passive (voice).
lyding	suffering.
lydsaam	meek, patient.
lyf	body; figure,
lyfband	belt, waist-band.
lyfie	little body; bodice.
lyfstraf	corporal punishment.
lyfwag	body-guard, life-guard.
lyk	n. corpse, dead body.; look, seem, appear.
lykhuis	mortuary, morgue.
lykrede	funeral service (oration).
lykskouing	post-mortem (examination), autopsy; geregtelike -, inquest.
lykwa	hearse.
lym	n. glue; gum; bird-lime.; glue.
lyn	line; string, rope, cord.; rule; line.
lynboot	liner.
lynolie	linseed-oil.
lynreg	perpendicular, straight.
lynsaad	linseed.
lynstaan	n. line-out (rugby).; line out; line up.
lys	n. list, register; cormce, moulding; skirting-board; frame (of picture); ledge; (picture-) rail.; frame.
lywig	corpulent; bulky, voluminous.
ma	mother, mummy, mam(m)a.
maag	stomach.; vide maagd.
maagd	maid(en), virgin.
maagdelik	maidenly, virginal.
maagkoors	gastric fever.
maagseer	peptic ulcer
maai	n. (loop na) jou -, go to blazes.; cut, mow, reap.
maaier	(1) mower, reaper.; (2) maggot.
maaifoedie	scoundrel, blackguard.
maaimasjien	mowing-machine, harvester.
maak	make; do.
maal	n. (1) time.; n. (2) meal.; (1) grind, mill; pulverise.; (2) multiply.
maalklip	grinding-stone.
maalstroom	maelstrom, whirlpool.
maaltyd	meal, repast.
maan	n. moon.; warn, dun (for money).
maand	month.
Maandag	Monday.
maandblad	monthly (publication).
maandelang	a. 'n - e siekbed, an illness lasting months.
maandeliks	a. & adv. monthly, once a month, every month, maanhaar, mane; central ridge (in farm-track).
maanhaarjakkals	maned jackal, aardwolf.
maar	but, yet, merely, only just.
maarskalk	n. marshal.
Maart	n. March.
maas	n. mesh, stitch.
maat	(1) measure, size, gauge; time, bar (music); measure, metre (poetry).; (2) mate, companion, partner.
maatband	tape-measure, measuring-tape.
maatloos	maatlose verse, free verse.
maatreël	measure, precaution.
maatreëls	measure; precaution
maatskaplik	social; joint (stock).
maatskappy	n. company; society.
maatstaf	measure, scale; standard, criterium.
maatstok	yard-stick; rule; (conductor's) baton.
Macedonies	Macedonian.
madam	n. lady.
madeliefie	daisy.
maer	lean, thin; (fig.) meagre, poor.
maermerrie	shin.
mag	n. power, might, force, strength; control; authority.; may, be allowed (permitted).
magasyn	n. store, warehouse; magazine.
magbrief	warrant, power of attorney.
magdom	heap(s), crowd(s).; lot(s); heap(s); crowd(s)
maghebber	authority, ruler.
magies	magic(al).
magistraat	magistrate.
Magjaar	Magyar.
magnaat	magnate, grandee.
magneet	magnet, lodestone.
magneties	magnetic.
magteloos	powerless, impotent.
magteloosheid	paralysis
magtig	powerful, mighty, potent.; authorise, warrant, empower.
magtig!	(interj.), Heavens!, Great Scott!.
mahoniehout	mahogany.
majesteit	majesty.
majestueus	majestic.
majoor	major.
mak	tame, docile, manageable, tractable.
makeer	ail; lack, be wanting.
makelaar	broker.
maklik	easy, comfortable.
makou	muscovy duck.
makriel	Cape mackerel.
maksimum	maximum.
mal	mad, foolish, silly.
malariastreek	malarial region.
Maleier	Malay.
Maleis	Malay.
malkop	silly person, rattle-brain; tomboy.
mallemeule	merry-go-round.
malligheid	silliness; tomfoolery; nonsense.
malmokkie	guinea-pig.
mals	lush (grass), tender (meat).
maltrap	vide malkop.
malva	geranium, mallow.
mamba	mamba(-snake).
mammoet	mammoth.
man	man; husband, mandaat, (-date), mandate.
mandaryn	mandarin.
mandjie	basket, hamper.
mandoor	foreman, mandoor.
manel	frock-coat.
maneskyn	moonlight, moonshine.
maneuvreer	manoeuvre.
manewales	antics, capers.
mangaan	manganese.
mangat	man-hole
mangel	n. (1) tonsil.; (2) mangle, mangling-baard.
mangelwortel	mangel(wurzel), mangold.
manhaftig	brave, manly; cheeky.
manie	craze, fad, mania, rage.
manier	fashion, manner, way.
manierlik	polite, well-mannered.
maniertjie	mannerism.
manifes	manfest(o).
manjifiek	magnificent.
mank	crippled, lame, limping.
mankoliekig	crocked, ill, seedy.
manlik	manly; masculine; male.
manmoedig	bold, brave, manly.
mannetjie	male; chappie, little fellow.
mans	hy is - genoeg om..., he is man enough to.
manskap	crew; (pl.) men.
manslag	homicide, manslaughter.
mansmens	male (person), man.
mantel	cloak, mantle; cape; casing, jacket, shell; fire-screen.
manteldraaier	turn-coat, weathercock.
manuskrip	manuscript.
mapstieks!	by Jove! my goodness!
maraboe	marabou.
margrietjie	daisy, marguerite.
marine	navy.
marionet	marionette, puppet.
mark	n. market.
markant	conspicuous, salient.
markeer	mark; die pas -, mark time.
marmelade	marmalade.
marmer	n. marble.
marmot	vide malmokkie.
Marokkaans	Moroccan.
Marokko	Morocco.
mars	march.; Mars.
Marseille	Marseilles.
marsjeer	march.
marskramer	hawker, pedlar.
martel	rack, torture; torment.
martelaar	martyr.
marteling	torture.
Marxisme	
mas	mast; pole (gymnastics).
Masbieker	Mozambiquer.
masels	measles.
masjien	machine; engine.; machine; engine; we had engine trouble
masjinaal	a. & adv. mechanical(ly); automatical(ly).
masjinerie	machinery.; machinery; plant
masjinis	engineer (on ship), engine-driver (on train); scene-shifter.
masker	n. mask; disguise.; mask, veil.
massa	crowd, mass; lot, lump.
massaal	wholesale.
masseer	massage.
massief	massive, solid.
mastig!	gracious!
masurka	mazurka.
mat	n. mat, door-mat, floormat, bottom (of chair).; a. languid, tired, weary; dead, dull (of gold); lustreless; dim; checkmate.
mate	degree, measure.
mateloos	excessive, measureless.
materiaal	material(s).
materie	matter.
materieel	a. & adv. material(ly).
maters	sy - is dood, he has no equal.
matesis	mathematics.
matig	a. moderate; abstemious, sober, temperate.; moderate, modify, restrain (one's anger).; moderate; temperate; indifferent
matinee	matinee.
matjiesgoed	n. bulrush.
matras	mattress.
matriek	matric(ulatiorr) (-examination).
matrikuleer	matriculate.
matrone	matron.
matroos	sailor.
matrys	matrix; mould.
Mattheüs	Matthew.
mauser	mauser.
mebos	mebos, dried and sugared apricots.
medalje	medal.
medaljon	medallion Mede, Medes.
mede	partly, to some extent.
mede-	communicative; expansive; liberal.; an announcement, communication, information.; compassion, pity, sympathy.; fellow-feeling, sympathy.; knowledge.
mede-...	co-, fellow- (in compounds).
mededinger	competitor, rival.
mededoënd	compassionate, sympathetic.
medeklinker	consonant.
medelyde	compassion, pity, sympathy.
medelydend	compassionate.
medepligtig	accessary (accessory).
medepligtige	accomplice.
medies	medical.
medikus	(-se, -dici, medical man, medico, doctor, physician.
medisyne	medicine.
mediterreens	mediterranean.
medium	medium; means.
meebring	bring along, bring with one; entail (delay); involve (danger).
meedeel	communicate (news), inform (a person).
meeding	compete.
meedoen	join (in a game), take part, participate.
meedoënloos	merciless.
meegee	give, send along with; give way, yield.
meel	meal, fyn -, flour.
meelblom	flour.
meelpap	flour-paste; gruel.
meemaak	go through, experience; take part in.
meen	mean; intend; fancy, suppose, think.
meent	commonage.
meepraat	join (take part) in (a conversation); put in a word.
meer	n. lake.; a. & adv. more.
meerdere	superior.
meerderheid	majority; superiority.
meerderjarig	of age.
meerderman	as - kom, moet minderman wyk, honour comes first; the weakest goes to the wall.
meereken	count (in), include.
meergegoed	better-off.
meerkat	meercat.
meermaal	frequently, more than once, often.
meerman	merman.
meermin	mermaid.
meerskuim	meerschaum.
meertou	mooring-cable.
meervoud	plural.
mees	adv. most(ly).
meesal	vide meestal.
meesleep	carry along, drag along; carry (sweep) before it.
meesmuil	simper, smirk, sneer.
meestal	meesal, mostly, usually.
meeste	greatest, most.
